AVG,OBP,SLG,OPS,R,HR,RBI,O-S%,Z-S%,S%,O-C%,Z-C%,C%,BB%,K%,ISO,BABIP,EV,LA,Barrel%,maxEV,HardHit%,xBA,xSLG,xwOBA
0.354,0.393,0.469,0.861,71,10,69,0.320,0.666,0.507,0.902,0.950,0.936,0.057,0.055,0.115,0.362,88.27125693160814,11.466990021372458,0.035,104.022,0.252,0.329,0.458,0.354
0.268,0.340,0.370,0.710,93,5,54,0.224,0.564,0.410,0.751,0.953,0.903,0.097,0.104,0.102,0.294,85.97466497998221,10.674759508451958,0.011,105.154,0.188,0.282,0.358,0.317
0.283,0.346,0.383,0.729,98,9,68,0.306,0.595,0.454,0.770,0.943,0.886,0.071,0.121,0.100,0.312,86.595,10.471518436920222,0.017,109.240,0.330,0.273,0.356,0.311
0.238,0.301,0.297,0.597,52,1,29,0.241,0.581,0.438,0.783,0.913,0.883,0.081,0.187,0.058,0.295,86.27779156595304,9.448464746633288,0.005,106.150,0.231,0.239,0.3,0.272
0.270,0.333,0.378,0.711,75,10,55,0.281,0.738,0.526,0.724,0.931,0.879,0.060,0.100,0.108,0.288,86.01042674081238,14.371246751088007,0.013,109.048,0.270,0.251,0.34,0.294
0.262,0.363,0.441,0.804,103,25,98,0.185,0.594,0.387,0.723,0.922,0.874,0.127,0.120,0.178,0.270,88.60829114292365,17.605927025139664,0.054,107.507,0.382,0.266,0.43,0.351
0.260,0.308,0.409,0.717,55,18,67,0.370,0.655,0.510,0.773,0.928,0.871,0.055,0.103,0.149,0.263,87.39980973868535,15.213170544854526,0.058,110.058,0.317,0.274,0.425,0.322
0.280,0.329,0.419,0.747,78,15,62,0.309,0.561,0.445,0.773,0.909,0.866,0.061,0.156,0.138,0.312,88.14068103227459,10.156564180968237,0.047,107.976,0.352,0.267,0.386,0.309
0.264,0.324,0.421,0.745,81,13,54,0.228,0.549,0.408,0.629,0.941,0.864,0.075,0.154,0.158,0.294,89.23280736019737,8.800888094912473,0.050,112.444,0.376,0.278,0.417,0.331
0.229,0.312,0.378,0.689,54,10,48,0.285,0.638,0.474,0.686,0.932,0.863,0.088,0.186,0.148,0.267,87.29870810055866,14.985530235247905,0.043,108.406,0.332,0.238,0.37,0.305
0.277,0.374,0.435,0.809,84,20,80,0.243,0.583,0.410,0.738,0.916,0.862,0.134,0.147,0.158,0.303,88.42274040904472,12.569809332126525,0.075,111.101,0.384,0.292,0.469,0.373
0.282,0.356,0.475,0.831,87,24,80,0.278,0.663,0.466,0.720,0.914,0.855,0.106,0.106,0.193,0.285,89.98670151654412,17.99569522633272,0.070,111.590,0.403,0.299,0.48,0.359
0.248,0.307,0.399,0.705,69,13,47,0.284,0.608,0.456,0.642,0.942,0.854,0.066,0.159,0.150,0.275,89.068,7.524833910392992,0.050,111.175,0.386,0.262,0.39,0.312
0.307,0.408,0.579,0.987,126,39,107,0.177,0.583,0.379,0.580,0.935,0.852,0.139,0.154,0.272,0.316,92.399,20.55727883493257,0.124,110.127,0.481,0.294,0.563,0.407
0.276,0.345,0.455,0.800,86,23,96,0.258,0.614,0.450,0.694,0.896,0.843,0.081,0.176,0.179,0.304,89.453,16.45367458528359,0.057,108.227,0.390,0.26,0.444,0.336
0.274,0.327,0.437,0.765,74,20,97,0.291,0.677,0.498,0.680,0.900,0.840,0.069,0.154,0.163,0.296,89.38555518617021,11.110457529920213,0.057,109.288,0.417,0.29,0.453,0.343
0.260,0.351,0.398,0.749,84,17,60,0.205,0.524,0.386,0.713,0.878,0.840,0.120,0.198,0.138,0.306,86.20812049278847,13.621060884915865,0.042,108.503,0.262,0.245,0.359,0.313
0.261,0.367,0.418,0.784,74,14,46,0.185,0.507,0.353,0.678,0.891,0.838,0.143,0.197,0.157,0.307,89.14540062881098,7.204551138528964,0.088,112.176,0.378,0.265,0.436,0.356
0.284,0.369,0.517,0.886,97,29,112,0.222,0.692,0.469,0.635,0.894,0.836,0.119,0.136,0.233,0.289,90.22381778258656,14.769766458650915,0.104,110.084,0.445,0.292,0.53,0.386
0.261,0.309,0.463,0.772,65,24,82,0.279,0.685,0.490,0.631,0.912,0.835,0.056,0.174,0.201,0.282,89.74946930679288,10.629,0.084,108.933,0.460,0.264,0.439,0.324
0.279,0.352,0.467,0.819,73,18,66,0.237,0.574,0.412,0.684,0.893,0.835,0.085,0.162,0.189,0.308,86.61430975731383,16.143009266954788,0.032,107.123,0.274,0.24,0.321,0.289
0.266,0.380,0.438,0.818,94,19,65,0.188,0.573,0.385,0.643,0.895,0.835,0.147,0.196,0.172,0.314,88.25456686580883,15.082863357655867,0.048,110.079,0.362,0.26,0.384,0.34
0.261,0.329,0.388,0.717,63,10,44,0.286,0.576,0.441,0.671,0.905,0.834,0.083,0.211,0.127,0.321,89.07100850310773,9.063824564053867,0.046,113.031,0.420,0.266,0.396,0.322
0.276,0.348,0.478,0.826,122,29,100,0.213,0.713,0.471,0.580,0.905,0.834,0.096,0.146,0.201,0.291,88.37411347517731,19.06438559674202,0.065,108.605,0.367,0.262,0.427,0.333
0.330,0.410,0.522,0.932,95,22,78,0.194,0.635,0.425,0.597,0.896,0.831,0.108,0.157,0.192,0.367,93.42974187935035,5.7301192493837005,0.095,114.462,0.540,0.305,0.487,0.383
0.289,0.338,0.445,0.783,71,15,72,0.260,0.573,0.433,0.718,0.872,0.831,0.059,0.140,0.156,0.316,88.970,3.9299308392881565,0.066,112.275,0.406,0.273,0.425,0.325
0.337,0.416,0.596,1.012,149,41,106,0.224,0.689,0.462,0.670,0.881,0.831,0.109,0.114,0.258,0.338,94.70848473837209,7.382276262555804,0.153,121.168,0.550,0.357,0.66,0.46
0.261,0.359,0.438,0.797,80,19,76,0.236,0.662,0.454,0.733,0.863,0.830,0.114,0.161,0.177,0.277,89.270,15.555481905764248,0.067,110.832,0.413,0.262,0.435,0.352
0.250,0.352,0.488,0.840,71,31,98,0.277,0.648,0.455,0.664,0.907,0.829,0.102,0.182,0.238,0.257,86.92575096899225,22.158937439437985,0.059,107.703,0.283,0.23,0.369,0.315
0.262,0.355,0.400,0.755,51,11,62,0.229,0.586,0.416,0.656,0.889,0.828,0.097,0.156,0.138,0.293,87.937,13.127567523092196,0.047,109.385,0.367,0.248,0.381,0.323
0.262,0.326,0.356,0.682,72,5,45,0.271,0.689,0.488,0.705,0.872,0.828,0.084,0.143,0.094,0.301,86.581,14.534226239737817,0.029,109.131,0.268,0.27,0.375,0.31
0.243,0.327,0.390,0.718,55,15,44,0.223,0.526,0.391,0.658,0.879,0.823,0.107,0.222,0.147,0.295,89.57068951072387,3.835762085288204,0.059,111.244,0.430,0.255,0.393,0.322
