AVG,OBP,SLG,OPS,BB%,K%,ISO,LD%,Pull%,EV,LA,Barrel%,HardHit%,maxEV,Contact%,HR,R,RBI
0.354,0.392857142,0.468641114,0.861498256,0.056726094,0.055105348,0.114982578,0.28465804,0.29595588,88.27125693,11.46699002,0.03492647,0.25183824,104.022,0.93801276,10,71,69
0.337,0.41632653,0.595645412,1.011971942,0.108843537,0.114285714,0.258164853,0.201067615,0.39679715,94.70848474,7.382276263,0.15302491,0.54982206,121.168,0.8311284,41,149,106
0.331,0.409589041,0.566718995,0.976308036,0.098630136,0.165753424,0.235478807,0.276391554,0.3646833,89.98160525,15.16828957,0.11132438,0.4184261,110.647,0.81539558,29,131,102
0.330,0.41,0.521904761,0.931904761,0.108333333,0.156666666,0.192380952,0.193995381,0.31408776,93.42974188,5.730119249,0.09468822,0.5404157,114.462,0.83449651,22,95,78
0.328,0.374613003,0.536134453,0.910747456,0.063467492,0.170278637,0.208403361,0.210633946,0.37627812,89.57453558,11.36848992,0.07361963,0.4601227,112.15,0.79231398,28,107,77
0.327,0.389925373,0.622641509,1.012566882,0.09141791,0.164179104,0.295597484,0.202531645,0.41518987,93.27183544,13.04628783,0.15189873,0.53164557,114.441,0.77210216,33,88,96
0.326,0.382003395,0.454033771,0.836037166,0.067911714,0.103565365,0.127579738,0.238396624,0.34171908,86.89661623,12.79416164,0.02725367,0.30188679,109.966,0.86012716,9,73,62
0.325,0.406779661,0.511437908,0.918217569,0.118644067,0.144067796,0.18627451,0.274661508,0.36363636,91.33609678,13.61121646,0.10058027,0.47969052,112.299,0.83050847,21,117,100
0.319,0.383471074,0.46226415,0.845735224,0.097520661,0.112396694,0.143396226,0.202531645,0.36075949,89.84464003,13.40722141,0.03375527,0.41350211,109.121,0.88061224,15,83,81
0.317,0.403697996,0.577540106,0.981238102,0.121351766,0.216589861,0.260249554,0.188679245,0.37735849,90.71934102,15.73370203,0.11502347,0.46948357,112.349,0.76266667,35,106,115
0.316,0.374792703,0.420475319,0.795268022,0.082918739,0.071310116,0.104204753,0.258382642,0.31558185,88.94032547,12.85062639,0.03550296,0.30177515,107.305,0.94083414,8,88,49
0.313,0.464831804,0.533864541,0.998696345,0.221712538,0.142201834,0.221115538,0.185990338,0.3115942,92.9535317,5.772694438,0.13285024,0.52415459,116.575,0.82087912,29,111,95
0.311,0.362204724,0.437100213,0.799304937,0.064960629,0.104330708,0.125799574,0.26201923,0.36450839,89.54989859,9.882277269,0.05755396,0.42925659,109.371,0.9,8,68,47
0.311,0.401146131,0.600993377,1.002139508,0.123209169,0.157593123,0.289735099,0.1875,0.39919355,95.12007163,9.354793278,0.15120968,0.55241935,117.391,0.7386172,48,123,111
